"config_id","config_label","method","method_label","sigma","mean_distance","mean_rho_mse","mean_theta_mse","mean_active_pixels"
"diag_pos_full","Положительная диагональ","cssa_row_row","CSSA ROW-ROW",0.2,0.353553390593274,0,1.44819048961587e-05,169.9
"diag_pos_full","Положительная диагональ","bm3d","BM3D",0.2,0.353553390593274,0,1.44819048961587e-05,100.8
"diag_pos_full","Положительная диагональ","median","Median",0.2,0.353553390593274,0,1.44819048961587e-05,1213.9
"diag_pos_full","Положительная диагональ","wiener","Wiener",0.2,0.353553390593274,0,1.44819048961587e-05,464.8
"diag_pos_full","Положительная диагональ","quantile_09","Quantile 0.9",0.2,0.353553390593274,0,1.44819048961587e-05,1000
"diag_neg_full","Отрицательная диагональ","cssa_row_row","CSSA ROW-ROW",0.2,0.353553390593274,0.1745442225354,2.35658805012746e-05,170.6
"diag_neg_full","Отрицательная диагональ","bm3d","BM3D",0.2,0.353553390593274,0.1745442225354,2.11769001165851e-05,100.2
"diag_neg_full","Отрицательная диагональ","median","Median",0.2,0.375473700810057,0.240316302662365,4.43622072961711e-05,1256.5
"diag_neg_full","Отрицательная диагональ","wiener","Wiener",0.2,0.353553390593274,0.1745442225354,2.19732269114816e-05,469.5
"diag_neg_full","Отрицательная диагональ","quantile_09","Quantile 0.9",0.2,0.353553390593274,0.1745442225354,2.43622072961711e-05,1000
"steep_full","Крутая прямая","cssa_row_row","CSSA ROW-ROW",0.2,0.225865452272706,0.2,6.31237335209922e-05,175.1
"steep_full","Крутая прямая","bm3d","BM3D",0.2,0.225865452272706,0.2,6.31237335209922e-05,102
"steep_full","Крутая прямая","median","Median",0.2,0.482031802797213,0.4,5.36732876311216e-05,1255.3
"steep_full","Крутая прямая","wiener","Wiener",0.2,0.284220050521882,0.210557280900008,6.54534659870701e-05,439.1
"steep_full","Крутая прямая","quantile_09","Quantile 0.9",0.2,0.225865452272706,0.2,6.31237335209922e-05,1000
"steep_shifted","Крутая смещенная","cssa_row_row","CSSA ROW-ROW",0.2,0.223606797749979,0.0124224800605672,4.2228417412524e-06,173.6
"steep_shifted","Крутая смещенная","bm3d","BM3D",0.2,0.223606797749979,0.0124224800605672,4.2228417412524e-06,101.6
"steep_shifted","Крутая смещенная","median","Median",0.2,0.291583264265973,0.167840008059895,1.60030200972004e-05,1238.2
"steep_shifted","Крутая смещенная","wiener","Wiener",0.2,0.223606797749979,0.0124224800605672,4.2228417412524e-06,445
"steep_shifted","Крутая смещенная","quantile_09","Quantile 0.9",0.2,0.223606797749979,0.0124224800605672,4.2228417412524e-06,1000
